id;remote_id;default_bank_account;description;bank_name;number;iban;bic;post_account;auto_sync;auto_sync_direction;currency;inactiv
1;16771;true;Drives TCP synergize;application;Shoes;GT920645O04P22362A3273667153;YGIUMKN1;withdrawal HTTP Electronics;REQUESTED;IN;BOV;false
2;82392;false;Optional Personal;Group repurpose;Glens;DK6900640700365046;MYZAMZA1;Trafficway capacitor Nevada;ACTIVE;IN;XPF;false
3;76383;false;redundant deposit;Handmade Mobility Ameliorated;mesh;DE74125008036001857280;TOGIDML1;invoice Shirt Wooden;REQUESTED;IN;BOB;false
4;58364;true;Oregon Architect;next-generation copying;Georgia Towels New;DO69AUPU23070230278714560037;ZFHUTMA1;aggregate Czech Architect;INACTIVE;IN;CVE;false
5;97535;true;Islands;compressing;connect Granite reinvent;NL32TWFA9540083893;CFUIIQZ1AAJ;e-markets Persistent Mouse;ACTIVE;IN;RON;false
6;41114;false;grid-enabled fuchsia;synergies Mountains generating;Wooden;AL90600352730D9Y6F1UJ288523S;IRUEKRJ1RUE;Timor-Leste;ACTIVE;IN;KGS;false
7;10253;false;Gorgeous extend Gorgeous;Manager;Frozen;BR1671403200600079606756081Y5;WVYOPLN1725;Illinois Corporate;INACTIVE;IN;KYD;false
8;67443;false;Factors haptic;Falls Borders Rustic;Checking Shoes Palau;DK8515610975940088;JDTEUAF1881;input;REQUESTED;IN;RSD;false
9;97139;true;Rustic;Beauty Metal;Som virtual Tennessee;EE949729954660098602;OLAICCB1;Island Loan;ACTIVE;OUT;KZT;true
10;8181;false;Keyboard Rustic;HDD Walk clicks-and-mortar;Dynamic Indiana orchestrate;CZ3820598545959817161927;RUZIPHC1235;neural Forward;INACTIVE;IN;INR;true
