id;remote_id;default_account;type;number;bic;description;inactiv
1;23978;false;QR_CODE;Forks;WODEGBO1369;microchip driver;false
2;80223;false;IBAN_NUMBER;Sleek copying Steel;VUPOVIN1212;Berkshire Account;false
3;69119;true;QR_CODE;Reactive Producer service-desk;QWWUCKL1571;productize Steel Wyoming;false
4;31569;false;IBAN_NUMBER;Future indexing Re-contextualized;JPVIAIA1889;Markets;true
5;93428;true;IBAN_NUMBER;primary;LXQAROG1;payment;false
6;73380;true;QR_CODE_WITH_REFERENCE;core;WPWUMZW1848;transmit Dollar;false
7;7826;true;QR_CODE;Account neural Plastic;NKRATDQ1416;Handmade;false
8;66572;true;QR_CODE_WITH_REFERENCE;PNG zero payment;RGUOUYV1;solution-oriented productivity;true
9;40449;false;QR_CODE_WITH_REFERENCE;Monitored high-level emulation;NSLIFJI1;Tunnel Tasty Singapore;false
10;54463;true;QR_CODE;Handmade Towels;YODUTLN1;compress Quality;false
